subid,looking_time_IDS,looking_time_ADS,age_days,child_gender,child_race_ethnicity,multilingual,CG_years_ed,child_N_sibs,CG_gender
MB1207,6.85875,3.70625,372,F,Caucasian,N,17,3,F
MB1208,6.0525,6.65875,381,F,Caucasian,N,16,0,F
MB1R12_1F_S1,11.671625,8.625,388,F,Caucasian,N,12,0,F
MB1R12_1F_S10,9.008625,4.899375,387,F,Caucasian,N,16,0,F
MB1R12_1M_S3,11.213125,7,377,M,Caucasian,N,16,0,F
MB1R12_2M_S4,16.8185,11.815,384,M,Caucasian,N,14,0,F
MB1R12_3F_S8,8.424,5.1955,392,F,Caucasian,N,16,3,F
MB1R12_4F_S9,8.63975,6.98675,392,F,Caucasian,N,16,3,F
MB1R12_4M_S6,4.059625,2.7555,388,M,Caucasian,N,18,1,F
MB1R12_4M_S7,5.6815,5.6395,384,M,Caucasian,N,16,0,F
MB1R13_1M_S1,6.809,4.781,422,M,Caucasian,N,16,0,F
MB1R13_2F_S5,5.140375,8.521875,401,F,Caucasian,N,18,0,F
MB1R13_2F_S7,11.592625,5.29625,420,F,Caucasian,N,16,2,F
MB1R13_2M_S11,6.373875,7.706125,409,M,Black,N,18,1,F
MB1R13_2M_S2,9.01425,10.412125,415,M,Caucasian,N,13,1,F
MB1R13_3F_S6,6.450375,8.189125,423,F,Caucasian,N,12,0,F
MB1R13_3M_S12,7.644125,7.462875,395,M,Caucasian,N,18,1,F
MB1R13_3M_S4,8.387125,5.42825,409,M,Caucasian,Y,18,0,F
MB1R13_4M_S9,3.11275,3.965125,397,M,Caucasian,N,16,1,F
MB1R14_1F_S1,8.43975,5.976,455,F,Caucasian,N,16,2,F
MB1R14_1F_S9,8.555375,7.040875,438,F,Caucasian,N,16,3,F
MB1R14_1M_S2,6.865875,6.266875,427,M,Caucasian,N,14,2,F
MB1R14_2F_S10,7.660125,7.45175,438,F,Caucasian,N,16,3,F
MB1R14_2F_S7,6.325,6.1025,445,F,Caucasian,N,18,1,F
MB1R14_2M_S14,13.440125,9.050125,452,M,American-Indian/Alaskan Native,N,16,1,F
MB1R14_2M_S3,6.349625,6.459375,448,M,Caucasian,N,16,2,F
MB1R14_3F_S5,11.480375,10.22425,437,F,Caucasian,N,18,1,F
MB1R14_3M_S16,6.793875,5.32325,437,M,Caucasian,N,13,2,F
MB1R14_3M_S6,7.421875,5.882,443,M,Caucasian,N,12,4,F
MB1R14_4F_S15,3.2105,3.689125,436,F,Caucasian,N,20,0,F
MB1R14_4F_S4,7.0255,5.324,448,F,Caucasian,N,16,2,F
MB1R14_4M_S12,6.58575,5.687375,443,M,Multiracial,N,13,0,M
MB1R14_4M_S17,7.217,4.908571429,440,M,Caucasian,N,13,0,F
MB1R6_1F_S11,14.005125,11.8215,207,F,Caucasian,N,18,1,F
MB1R6_1M_S1,8.450125,9.244625,189,M,Caucasian,N,18,2,F
MB1R6_1M_S10,11.28025,11.598625,210,M,Caucasian,N,14,1,F
MB1R6_2F_S4,15.43425,14.579875,202,F,Caucasian,N,20,0,F
MB1R6_2M_S3,7.376125,6.7555,194,M,Caucasian,N,13,0,F
MB1R6_3F_S12,9.9955,6.75875,207,F,Caucasian,N,18,1,F
MB1R6_3F_S5,12.1575,9.7795,197,F,Caucasian,N,18,0,F
MB1R6_4F_S6,12.829,13.89175,204,F,Caucasian,N,18,0,F
MB1R6_4F_S8,14.360875,15.266125,188,F,Caucasian,N,18,0,F
MB1R6_4M_S7,6.869375,6.081375,205,M,Caucasian,N,16,0,F
MB1R7_1F_S5,8.8765,6.12075,231,F,Caucasian,N,17,1,F
MB1R7_1F_S6,13.101125,10.53225,214,F,Caucasian,N,13,1,F
MB1R7_1M_S1,14.949625,14.634875,213,M,Caucasian,N,13,1,F
MB1R7_1M_S10,15.818625,12.75375,213,M,Caucasian,N,18,0,F
MB1R7_2F_S7,8.575625,7.447375,227,F,Caucasian,N,18,1,F
MB1R7_2M_S2,8.000375,12.846625,216,M,Caucasian,N,18,1,F
MB1R7_2M_S9,5.927,5.309125,220,M,Caucasian,Y,13,1,F
MB1R7_3F_S12,8.51675,8.04675,217,F,Caucasian,N,18,1,F
MB1R7_3M_S3,18.219,14.776125,212,M,Caucasian,N,16,2,F
MB1R7_3M_S8,15.239625,7.496125,231,M,Caucasian,N,16,0,F
MB1R7_4F_S11,8.555125,9.328375,223,F,Multiracial,N,14,1,F
MB1R7_4M_S4,10.358,7.205,219,M,Caucasian,N,18,1,F
MB1R8_1F_S1,4.3205,3.717625,265,F,Caucasian,N,16,0,M
MB1R8_1M_S3,3.81525,3.228,263,M,Caucasian,N,16,2,F
MB1R8_2F_S2,9.94425,8.4625,271,F,Caucasian,N,14,1,F
MB1R8_2M_S4,9.0235,8.686625,273,M,Caucasian,N,16,1,F
MB1R8_3F_S6,8.373125,5.228125,264,F,Multiracial,N,16,0,F
MB1R8_3M_S5,9.78725,12.325375,254,M,Caucasian,Y,16,1,F
MB1R8_4F_S7,11.8575,7.352375,251,F,Caucasian,N,16,1,F
MB3-01,6.385,4.75,156,F,Hispanic/Latino,Y,15,0,F
